icao24,r,t
4005AC,G-BVZE,B735
A70E7E,N554CE,GLF5
43E7BD,M-ILES,F2TH
391E0A,F-GHQK,A320
4951D0,CS-TNP,A320
4CA76A,EI-EFO,B738
48436A,PH-BQC,B772
400FDE,G-EZBM,A319
40098C,G-MAJJ,JS41
3926A0,F-GJVA,A320
405B67,G-EZDN,A319
4CA1BB,EI-DAJ,B738
3C658D,D-AILM,A319
4B1611,HB-IJH,A320
45AD0D,OY-KHM,MD82
4CA1B9,EI-DAH,B738
400E49,G-CDZH,B738
3C4D09,D-ACHI,CRJ2
4CA251,EI-DCR,B738
4D201C,9H-AEF,A320
461F33,OH-LVF,A319
4CA761,EI-EFF,B738
400BA2,G-CDEA,SB20
400CEB,G-EUXI,A321
400A99,G-STRF,B737
4004BC,G-OJMR,A30B
401344,G-FBEH,E190
4CA626,EI-DWZ,B738
4CA564,EI-DPY,B738
A42DBC,N369AA,B763
405A47,G-EUUY,A320
400562,G-GBTB,B734
400C76,G-OZBK,A320
400A69,G-EZEB,A319
400CD1,G-EZIR,A319
400674,G-VHOL,A343
76CD68,9V-SKH,A388
400574,G-BYAU,B752
4CA568,EI-DWC,B738
3C4D04,D-ACHD,CRJ2
400A7F,G-OZBI,A321
401101,G-CEJP,B738
4CA4EE,EI-DPJ,B738
76CEF1,9V-SWQ,B77W
8960CB,A6-EBD,B77W
40040F,G-BNLP,B744
400711,G-FCLE,B752
405D66,G-FBEM,E190
AA77F0,N774AN,B772
4D2023,9H-AEM,A319
4010AB,G-TTIF,A321
400EFE,G-EZBD,A319
4008B4,G-EUPT,A319
4B161F,HB-IJV,A320
4692CA,SX-DVJ,A320
400072,VP-CMP,H25B
484027,PH-BDO,B733
405D0C,G-EZDS,A319
4CA197,EI-CXN,B733
40059C,G-FTDF,A320
702008,S2-ADF,A310
40095D,G-TTOB,A320
4911B3,CS-DMS,BE40
47801D,LN-RMS,MD81
40093D,G-EUOD,A319
4CA256,EI-DHA,B738
400A07,G-EZJX,B737
400C47,G-EZIE,A319
406015,G-EZTK,A320
400774,G-VIIW,B772
3003CD,I-MLXT,F27
40089C,G-EZJC,B737
400683,G-VIIK,B772
30016C,I-BIMG,A319
405456,G-EUUV,A320
4CA75F,EI-EFD,B738
3C4E47,D-ACRG,CRJ2
4CA4EA,EI-DPF,B738
400615,G-CIVM,B744
896049,A6-EMF,B772
78013D,B-HOT,B744
4CA567,EI-DWB,B738
400D4B,G-OOBM,B763
47340F,HA-LPO,A320
4CA293,EI-DEM,A320
AA5191,N764NA,B763
4C8012,5B-DBD,A320
4006B0,G-CIVZ,B744
44915A,OO-DJZ,RJ85
400F63,G-VWEB,A346
405B64,G-EZDK,A319
400F99,G-DBCJ,A319
3C6657,D-AIRW,A321
C07465,C-GSCA,B763
40069C,G-ODSK,B733
400AA3,G-EZEK,A319
400B00,G-EUXH,A321
4CA643,EI-DYA,B738
400D5B,G-DBCH,A319
00B0EF,ZS-SNE,A346
405D13,G-EZDZ,A319
401248,G-BMIV,P28A
4CA701,EI-EBD,B738
A37B45,N323UP,B763
400966,G-MEDF,A321
4CA309,EI-DET,A320
43C1C4,ZD953,L101
4910D1,CS-DFQ,C56X
400987,G-MAJE,JS41
4006EE,G-TOYM,B733
400A50,G-EZKB,B737
405F12,G-EZTB,A320
400405,G-BNLF,B744
4006E3,G-VFAR,A343
4CA565,EI-DPZ,B738
405636,G-EZDH,A319
440130,OE-LDF,A319
AA5428,N765AN,B772
4006A4,G-OBYE,B763
3C48A8,D-ABEH,B733
867FAC,JA733J,B77W
400493,G-CELD,B733
400B93,G-RJXL,E135
4004DE,G-BNWN,B763
400E8C,G-JECO,DH8D
3C4946,D-ABJF,B735
868E9E,JA778A,B77W
400A55,G-EZKG,B737
400490,G-BNWM,B763
400B3A,G-RGNT,R44
3C11A4,D-AVRR,RJ85
400973,G-MIDP,A320
40057D,G-CIVD,B744
405455,G-EUUU,A320
3C660C,D-AIPL,A320
4CA61B,EI-DWM,B738
4006C0,G-VIIN,B772
40614A,G-CGBP,DA40
4CA15C,EI-CVC,A320
4911D1,CS-DNQ,F2TH
40461D,G-JPAL,AS50
4784A0,LN-RRA,B737
40065B,G-BIKP,B752
4006AF,G-CIVY,B744
478369,LN-RCY,B738
4D2021,9H-AEK,A320
400668,G-BMRF,B752
48433A,P4-GAS,B752
4CA257,EI-DHB,B738
400104,VP-BJD,GLF4
4CA284,EI-FXC,AT43
4951CC,CS-TNL,A320
800380,VT-JEA,B77W
8961EC,A6-EHI,A346
3C1199,D-AVRG,RJ85
4CA2B3,EI-SLH,AT72
75007B,9M-MPN,B744
4950D8,CS-TFX,A345
A35EEB,N316UP,B763
4005ED,G-VSUN,A343
451E8A,LZ-WZB,A320
4C8020,5B-DBS,A332
02000E,CN-RND,B734
4006B2,G-BYGB,B744
3C493A,D-ABIZ,B735
A8AC35,N658UA,B763
400775,G-VIIX,B772
4BBC2C,TC-OAL,A321
600804,4K-AZ04,A319
020067,CN-ROF,A321
4CA223,EI-DCI,B738
40040B,G-BNLL,B744
7C482F,VH-OJL,B744
4BBC25,TC-OAE,A321
400795,G-EMBI,E145
468961,SX-BKA,B734
400188,VP-BUI,B752
738481,4X-BAU,B753
89607B,A6-EMR,B77W
4CC2AC,TF-FIG,B752
400D97,G-FPLE,BE20
47340D,HA-LPM,A320
7C4833,VH-OJP,B744
