icao24,r,t
3C48B7,D-ABEW,B733
461F36,OH-LVI,A319
A7B7EA,N597FE,MD11
400C5D,G-CDKB,SB20
392283,F-GIUD,B744
4011DE,G-OAFF,C208
451E23,LZ-BOU,B733
424135,VP-CES,GLF5
3C073B,D-ARTE,CL60
393F01,F-GPYB,AT45
88002E,HS-TGX,B744
4590C4,OY-DFD,M20P
A75DC7,N574FE,MD11
392F2F,F-GLZP,A343
074020,S7-ASY,B763
0292A8,TS-IMI,A320
4492E1,OO-DWA,RJ1H
A46864,N383WA,MD11
502C30,YL-BBF,B735
471628,HA-LOP,B737
3C4D03,D-ACHC,CRJ2
AACAA5,N795AN,B772
A2C604,N278UP,MD11
A60312,N487EV,B742
C05858,C-GHLV,B763
461F32,OH-LVE,A319
AAF10C,N804DH,DC87
4784F0,LN-KHA,B733
300066,I-BIXN,A321
4783B5,LN-KKQ,B733
484395,PH-XRE,B737
449189,OO-DLI,A30B
4785E1,LN-NOO,B738
4CA2A9,EI-DHV,B738
405B74,G-FCSL,PA31
3C4923,D-ABIC,B735
A38DD8,N328UP,B763
3C4B0C,D-ABXL,B733
0100A7,SU-GCJ,A332
7101D1,HZ-AFU,GLF4
AA9801,N782AN,B772
4BBC45,TC-OBE,A320
343197,EC-KTZ,B733
4BBDCE,TC-ONN,MD88
4000BA,VP-BUA,B763
AE056A,86-0013,C5
A16883,N190DN,B763
AE145D,06-6159,C17
AE0978,01-0076,GLF5
AB6FBF,N836MH,B764
44D026,OO-TAF,B463
4BA9C1,TC-JNA,A332
AE1460,06-6162,C17
A49920,N396AN,B763
AAA893,N786UA,B772
405EA9,G-CFLV,SB20
3C4921,D-ABIA,B735
440C7B,OE-LFH,F70
3C6510,D-AIHP,A346
4596CF,OY-EVO,C550
448474,OO-ACT,F900
4CA520,EI-RJU,RJ85
394C14,F-GTAU,A321
491252,CS-DRR,H25B
393567,F-GNLH,F100
4400F8,OE-LVG,F100
491188,CS-DLH,F2TH
A98219,N711ZX,B752
43E7A7,M-NGSN,PC12
A65CCE,N509QS,GLF5
3944EE,F-GRHO,A319
49110C,CS-DHL,C550
400C25,G-BVYF,PA31
3CE600,D-COKE,LJ35
A05A25,N12125,B752
34158F,EC-ICL,A320
405AFC,G-GEVO,C680
76CE0A,9V-SPJ,B744
4692CE,SX-DVN,A320
47842A,LN-FAN,JS32
02D121,TS-IEC,B733
A8EE79,N675BW,BE35
4B160D,HB-IJD,A320
ACF02B,N9325N,P28A
400D0F,G-WALI,R44
400D4D,G-BOUL,PA34
AE1470,07-7178,C17
A03FDD,N115MD,
C056C4,C-GGWH,CL60
4248E6,VQ-BAT,A319
4911B1,CS-DMQ,BE40
3413C4,EC-HGS,A319
402FD7,G-BRFM,P28A
43E733,M-DASO,FA50
400841,G-FPLB,BE20
40605D,G-HTML,ULAC
400FAA,G-PKRG,C560
3C4884,D-ABDD,A320
401E3D,G-BHGJ,D11
4402B3,OE-FHH,C501
44D98D,OO-VLM,F50
3423C3,EC-JQZ,A321
40006B,VP-CLV,CL30
3C5EE2,D-AGWB,A319
402BF6,G-LBRC,P28T
4403BD,OE-IIS,GLF5
4053E4,G-WATJ,BE20
403339,G-WINK,AA5
AAC4ED,N793UA,B772
AE1467,07-7169,C17
4912A5,CS-DUE,H25B
A2A54B,N27MW,BE58
401076,G-GPAG,RV6
401C18,G-BDSB,P28A
4011B6,G-LENI,AS50
401109,G-ODCC,B06
404DBD,G-EETG,C172
ABE1B6,N865DA,B772
A0BD59,N147GT,SR22
A0BCE7,N147CD,SR20
401130,G-SOHO,DA40
404E31,G-MAUS,EUPA
40228E,G-OPSF,PA38
4248F6,VQ-BBE,A332
A081CA,N13138,B752
3C64F5,D-AIGU,A343
405204,G-RMRV,RV7
4B17A8,HB-IYY,RJ1H
400A9D,G-JANT,P28A
A96F3A,N707GW,GLF5
508087,UR-GAL,B733
48404E,PH-BFL,B744
40605B,G-OLEW,RV7
401EC1,G-BIBA,TAMP
AE144D,05-5143,C17
7C4829,VH-OJF,B744
4CA1B0,EI-CZD,B762
404E87,G-RVAC,RV7
4057DF,G-OCRZ,CRUZ
4911E3,CS-DOC,B190
4012BD,G-LBDC,B06
468966,SX-BKF,B734
3C6674,D-AIST,A321
3D2614,D-EMRC,SR22
71BC13,HL7413,B744
502C50,YL-BBI,B733
491241,CS-DRA,H25B
A9065A,N68053,DC10
7608EB,AP-BGK,B772
491161,CS-DKA,GLF4
402AF3,G-BOJS,C172
43C0A6,XV101,VC10
3E1871,D-IALL,C525
A7D7C6,N604TB,CL60
3C6589,D-AILI,A319
3E46EC,D-ISBC,BE9L
3414C6,EC-HQG,A320
406145,G-FIKI,SR22
400C89,G-ORVR,P68
393168,F-GMLI,MD83
342397,EC-JTQ,A320
76CCC6,9V-SFF,B744
8960DE,A6-EBW,B77W
3B77DF,152,CN35
4B1537,HB-IAX,F2TH
A02D04,N110JJ,G150
A7F6AE,N612FE,MD11
3950C1,F-GUGB,A318
400B62,G-DIZY,P28A
3C11A2,D-AVRP,RJ85
402ACD,G-BOIT,TOBA
4B17B3,HB-IZJ,SB20
4400F7,OE-LVE,F100
4240E5,VP-BMA,G150
4CA225,EI-DCK,B738
391544,F-GFKE,A320
401136,G-MAPR,BE36
3C666E,D-AISN,A321
43C0A0,XR807,VC10
401214,G-OJCW,P32R
A95412,N70VB,AEST
4019F9,G-BAJO,AA5
4D029A,LX-DCA,C25B
A00F76,N1027G,
300065,I-BIXM,A321
4D0109,LX-TCV,B744
4840DE,P4-EAS,B752
48484C,PH-GYS,C172
400B72,G-BYZA,AS50
732422,EP-IAB,B74S
AE057B,87-0030,C5
44918A,OO-DLJ,B752
89610D,A6-ECF,B77W
A7906B,N587FE,MD11
4B1612,HB-IJI,A320
A841F5,N631FE,MD11
3950CE,F-GUGO,A318
3425CC,EC-KES,C25A
88001F,HS-TGT,B744
A7869F,N584V,P46T
02D126,TS-IEJ,B733
A0377F,N113BP,PA46
A7B433,N596FE,MD11
0292AA,TS-IMM,A320
ABAD04,N851WA,TBM8
4020FC,G-BLOS,C185
AC70E5,N900TR,F900
449183,OO-DLC,A30B
8960C9,A6-EBB,B77W
400D14,G-GREY,PA46
506C0D,S5-AAL,CRJ9
4CA302,EI-DLW,B738
A00386,N10MZ,GLF5
C05856,C-GHLT,B763
49516C,CS-TKL,A320
4D201E,9H-AEH,A319
3C7068,D-ALCH,MD11
A754B5,N57111,B752
4951CA,CS-TNJ,A320
478075,LN-TUA,B737
A6F971,N549AX,B752
44B125,OO-LIE,C525
AAC340,N793AX,B762
34138D,EC-HDP,A320
71BE03,HL7603,B744
76CCCF,9V-SFO,B744
71BC04,HL7404,B744
3C4E10,D-ACPP,CRJ7
02A2A2,TS-INB,A320
8990DA,B-16711,B77W
468964,SX-BKD,B734
A7D2E6,N603FE,MD11
A6F009,N546US,B752
4BA88B,TC-JDK,A343
A14FE0,N184DN,B763
A97DCB,N710TW,B752
A6F3C0,N547US,B752
AE1458,06-6154,C17
78014A,B-HUH,B744
3C64E1,D-AIGA,A343
856754,JA401J,B744
A805F0,N616KG,GLF4
43E790,M-LEAR,LJ31
4BAA43,TC-JRC,A321
400937,G-EUOB,A319
400649,G-BTPH,ATP
3C6597,D-AILW,A319
A8E24D,N67134,B752
30005A,I-BIXA,A321
391558,F-GFKY,A320
501D84,9A-CDA,MD83
393CA3,F-GPFD,FA10
A1E97F,N222LX,GLF5
400CD5,G-EZIV,A319
400FFE,G-FBEC,E190
3C64EE,D-AIGN,A343
76CCD1,9V-SFQ,B744
A0F7E2,N1611B,B763
A6EC52,N545US,B752
3C492E,D-ABIN,B735
A1EDE9,N223UA,B772
76CE0F,9V-SPO,B744
80041C,VT-ALE,B77L
48436E,PH-BQG,B772
ACDD8A,N928SZ,GLEX
3CF296,D-CTEC,C25B
3B9BFD,7,FA50
484060,PH-KCB,MD11
49528E,CS-TTN,A319
40465E,G-GDRV,RV6
800439,VT-JWK,A332
89612E,A6-ETD,B77W
42491D,VQ-BLA,GLF5
400D0B,G-PZIZ,PA31
4031BC,G-BSDP,C152
424075,VP-BMB,F900
4047C9,G-PWUL,RV6
AA2CA9,N755AN,B772
AE07D1,90-0532,C17
405CC2,G-OCJZ,C25A
4035E1,G-BUFY,P28A
40522A,G-NWFG,C172
34154A,EC-IDA,B738
404D94,G-FLYC,C42
A3C3E0,N34131,B752
AAE3C4,N800VM,BE76
51106E,ES-LVA,LJ60
400CD9,G-OEWD,PRM1
40129B,G-OHJV,R44
394A06,F-GSQG,B773
AA4865,N76156,B762
4058B6,G-SVGN,C680
491302,CS-DXB,C56X
4CA022,EI-CDE,B735
C818AC,ZK-MOH,AC90
400DCE,G-SHAR,C182
42423F,VP-BLY,A332
ACC358,N921R,DC86
A09ADE,N138WA,DC10
40017A,VP-BWO,A321
AE0817,00-0181,C17
A4B109,N401HB,GLF5
516094,4O-AOP,F100
405FE7,G-TJAG,PA34
A48681,N391AA,B763
484AA5,PH-DLN,P180
402989,G-BNSR,RF6
40008D,VP-BUS,GLF4
400DBE,G-BLXA,TRIN
400BF3,G-BHFE,PA44
4D00FB,LX-LGI,E145
4001B2,VP-BSP,F900
44001E,OE-LAY,B763
400E19,G-CDTE,SIRA
738E0C,4X-CUR,CL60
A0A903,N14118,B752
AE0814,00-0178,C17
4A08E4,YR-BGD,B733
AA1A30,N750BP,C750
ADF41E,N999AM,C500
AB0A9D,N810NW,A333
3949E8,F-GSPI,B772
4B173E,HB-IUW,F900
393177,F-GMLX,MD83
502C55,YL-BBX,B733
A0FD28,N163DK,HA4T
3C6623,D-AIQC,A320
400EA0,G-BYXC,G115
401093,G-ZZDG,SR20
400108,VP-BPO,PRM1
4009C4,G-CBRG,C560
3C4964,D-ABKD,B738
400B25,G-BOHR,P28A
478322,LN-ROM,MD81
4BA8E7,TC-JGG,B738
4B1691,HB-IOF,A321
AB800F,N840CD,SR20
778564,YK-AKD,A320
34150C,EC-HTB,A320
89402B,A9C-KC,A332
424254,VP-BEH,FA7X
76CEE2,9V-SWB,B77W
401D1E,G-WNTR,P28A
0A004B,7T-VKC,B738
44CE70,OO-SSP,A319
404D47,G-RVDG,RV9
4D0118,LX-LCV,B744
424143,VP-CSK,B738
3C119F,D-AVRM,RJ85
400BCB,G-EJTC,R44
406114,G-SUEI,DA42
4911DA,CS-DNZ,C56X
392F32,F-GLZS,A343
48444F,PH-OFL,F100
46BC41,SX-OBA,DH8D
AB0182,N808VT,P28A
400872,G-BZAZ,RJ1H
405F5E,G-KTSG,R22
458D6E,OY-CKN,F2TH
71BC95,HL7495,B744
400D8D,G-EZAC,A319
78044E,B-6115,A332
A00541,N100FR,SR22
0D04E6,XA-JBT,H25B
402EA4,G-SHED,P28A
4402D9,OE-ITH,CL60
3C6642,D-AIRB,A321
449A05,OO-FPE,C25B
3980C0,F-HAGA,C25B
0292C4,TS-IMQ,A319
43C04C,ZH870,C30J
400969,G-RJXK,E135
478064,LN-BUF,B734
3C4948,D-ABJH,B735
400667,G-BMRE,B752
51100C,ES-ABH,B735
300167,I-BIMO,A319
A922AF,N688TY,GLF5
3C6601,D-AIPA,A320
00B0EE,ZS-SND,A346
76CCC7,9V-SFG,B744
401A8A,G-BAWG,P28A
47161B,HA-LOB,B737
4C01CD,YU-AON,B733
896052,A6-EMO,B773
473406,HA-LPF,A320
00B1F1,ZS-SXC,A343
3E4AEF,D-ITOP,C25A
405AC1,G-HBJT,EC55
49D03B,OK-CGH,B735
40126E,G-MDBA,F2TH
4CA230,EI-DFP,A319
34148B,EC-HUK,A320
47807B,LN-TUF,B737
503C5D,LY-AWF,B735
478398,LN-RRR,B736
C8187E,ZK-OKA,B772
342187,EC-KHJ,A320
040019,ET-ALY,B752
8990C1,B-16482,B744
3C4B14,D-ABXT,B733
400CD2,G-EZIS,A319
4240E0,VP-BUP,A321
3424C9,EC-JXZ,CRJ9
3421D1,EC-JKZ,B738
4CA525,EI-IGB,B752
400D8E,G-EZAD,A319
8003A5,VT-VJM,A319
AB8C19,N843MH,B764
A9E814,N7375A,B763
392268,F-GITI,B744
3965A4,F-GZNE,B77W
3C656E,D-AIKN,A333
7801C5,B-HUQ,B744
300175,I-DISE,B772
3C6606,D-AIPF,A320
3C64F6,D-AIGV,A343
A1D8FD,N218UA,B772
AB4806,N826K,F900
AA37CE,N758AN,B772
4B15CC,HB-IGQ,F2TH
405942,G-LEAC,C510
4BA9AA,TC-JMJ,A321
A31F61,N300AQ,LJ45
4D0158,LX-ICV,B744
A6AADF,N529FE,MD11
43C0A9,XV109,VC10
44D8AA,OO-VEJ,B734
A11E94,N171TG,FA50
4403B9,OE-HRJ,J328
3CC12A,D-CALM,D228
4240B9,VP-BBZ,LJ60
40460E,G-CBGC,TOBA
896079,A6-GDP,B742
AAC6EE,N794AN,B772
A0A728,N141HT,SR22
4B1A5C,HB-JZO,A319
401353,G-LEAI,C510
A5047C,N422QS,GLF4
43E730,M-OTOR,BE9L
4001DB,VP-CLB,F900
44F501,CA-01,A310
739401,4X-CPS,H25B
43E758,M-NOEL,CL30
342188,EC-JFN,A320
E80241,CC-CZZ,B763
A6A64E,N5277T,PA32
A753DA,N571TS,CL60
4CA20E,EI-DFA,A319
AC7045,N900MF,F900
400B91,G-CRUZ,C303
4011E0,G-TOPC,AS50
3000AE,I-DAWZ,MD82
424090,VP-BLW,GLF5
A33DB2,N308GT,C25B
47834A,LN-TUJ,B737
394A14,F-GSQU,B77W
401F37,G-BIRT,R100
491309,CS-DXI,C56X
342506,EC-JZK,C56X
AAE32B,N800PJ,GALX
43C204,ZD704,H25A
45B956,OY-NJV,PA31
405FC4,G-FBKA,C510
400C67,G-NSUK,PA34
400C90,G-SCIP,TRIN
A9F836,N741WA,B744
3C9C25,D-BGAE,J328
40015E,VP-BWJ,A319
008099,ZS-AFG,H25B
440081,OE-LPD,B772
A3A15B,N333EC,GLF4
8961EE,A6-EHK,A346
7801FD,B-KAG,B744
400D7B,G-BOUM,PA34
738042,4X-ELB,B744
020004,CN-RMV,B735
4B8E81,TC-CTA,B738
010090,SU-GBZ,A320
4B16C9,HB-IQJ,A332
3CC57C,D-CCCA,LJ35
AC1D80,N88WR,B737
71BC19,HL7419,B744
43C1F4,ZK451,BE20
392F33,F-GLZT,A343
4010E1,G-EERY,R22
43C1F3,ZK450,BE20
400404,G-BNLE,B744
30008C,I-DEIG,B763
400D2E,G-OTVR,PA34
A0667F,N125CH,GLEX
AA8E8B,N78DU,BE36
A03A99,N1136Y,BE36
405E8B,G-TSGE,SR20
AE1527,167111,C30J
0D0020,XA-JBC,B762
45AC4C,OY-KBL,A321
300185,I-TOPB,BE40
461F6E,OH-LXM,A320
89402E,A9C-KF,A332
4B1789,HB-IXT,RJ1H
43C511,XZ641,LYNX
4A80A1,SE-DIL,MD82
76CEEE,9V-SWN,B77W
396040,F-GYCA,FA20
4060C3,G-CFOJ,EC55
4403A5,OE-INN,CL60
342398,EC-JTR,A320
3949F9,F-GSPZ,B772
4492E2,OO-DWB,RJ1H
484815,PH-RCV,TOBA
46898D,SX-BLM,B734
AE10BA,01-0191,C17
4B182D,HB-JEB,GALX
392F2C,F-GLZM,A343
401158,G-BXNS,B06
400D59,G-SVPN,P32R
020058,CN-ROA,B738
A14FAB,N184BK,CL30
738097,4X-EBV,B752
3C4AE8,D-ABWH,B733
4840F4,PH-BTH,B733
A9E541,N737CC,B737
399838,F-HGBY,H25B
4CA56B,EI-DWF,B738
780275,B-6075,A332
3000CD,I-BIKL,A320
A19B64,N202VZ,GLF4
403123,G-GOSL,DR40
3950C6,F-GUGG,A318
4058E3,G-ROYM,R44
44D992,OO-VLR,F50
A58267,N454QS,GLF4
342153,EC-HZH,SW4
48449D,P4-JET,FA50
C05D79,C-GJKI,C680
449153,OO-DJS,RJ85
A79B1C,N59AP,GLF4
AA7082,N772AN,B772
AD4B27,N956CD,SR22
3C4E49,D-ACRI,CRJ2
3C4E63,D-ACSC,CRJ7
7103FA,HZ-MIS,B732
A3A67B,N334UP,B763
C06A58,C-GOHB,F2TH
47161E,HA-LOE,B736
4240DF,VP-BUN,A319
4492E7,OO-DWG,RJ1H
3000D6,I-BIKU,A320
4CC1BC,TF-NPA,J328
4240B2,VP-BMM,H25B
4B9852,TC-FBR,A320
3C6305,D-AHXE,B737
34134E,EC-HUI,A321
A0A8DA,N14102,B752
461F30,OH-LVC,A319
8A01F7,PK-YVI,A332
A55A2D,N444HE,B733
34218F,EC-GVE,SW4
4A0825,YR-BAE,B734
400665,G-BMRC,B752
A8C355,N664CP,GLF4
3F8518,1024,A310
4CA6C1,EI-XLS,C560
4CA282,EI-FXA,
A455D0,N379G,GLEX
AA6BA4,N77019,B772
AC3078,N885AR,GLF4
A1A2B6,N204UW,B752
780140,B-HOW,B744
A6B593,N531QS,GLF5
00B0EC,ZS-SNB,A346
AA1DCD,N751AN,B772
43E7C4,M-YGIV,GLF4
4B19AC,HB-JSU,F900
3C4E50,D-ACRP,CRJ2
A5BF2C,N47EG,F900
896051,A6-EMN,B773
47806D,LN-RPA,B736
A3C9FA,N343RR,PA46
C2B355,15001,A310
4008C3,G-JANV,LJ45
489442,SP-LPB,B763
A2D6C7,N282Q,GLF5
3D1F95,D-EKFD,PA46
4A81BB,SE-DZV,B738
3C4E14,D-ACPT,CRJ7
3C4B15,D-ABXU,B733
4A934E,SE-DZN,B738
4D02E2,LX-PAK,GLEX
A22A05,N239AX,F900
45AA84,OY-JTD,B733
40547E,G-CIZZ,BE58
896169,A6-EWI,B77L
491187,CS-DLG,F2TH
A7B7B4,N597DA,CL60
A1B535,N209UA,B772
A88C18,N65TP,LJ45
A65F98,N51FE,FA50
76CCE4,9V-SGD,A345
489441,SP-LPA,B763
064063,5N-JMB,H25B
47845D,LN-KKT,B733
43C3E2,ZG503,HAR
3C4E0F,D-ACPO,CRJ7
400F86,G-WOFM,A109
A45B8C,N380CR,C525
40105A,G-LECA,AS50
A8B377,N66SG,LJ45
3965A3,F-GZND,B77W
40232C,G-TRUK,
06A04E,A7-ACM,A332
4009ED,G-TOYA,B733
3C5EEA,D-AGWJ,A319
ACD0C7,N925AK,F2TH
4D02B2,LX-JFH,PC12
472004,HA-TCT,AN26
A3F3AA,N354AA,B763
A16EBC,N19130,B752
3E22F0,D-IEKU,C25A
400BBA,G-GDMW,BE76
40114C,G-CEDK,C750
4912A3,CS-DUC,H25B
A43EF2,N373AB,C750
3C6582,D-AILB,A319
40562A,G-CEYN,G109
4784E9,LN-RRE,B738
40133F,G-EFCM,P28A
401058,G-LXRS,GLEX
A8DB55,N67WB,F900
AB4573,N825WS,PA46
33FFEB,MM62185,C30J
4040B7,G-IGGL,TOBA
495201,CS-TPA,F100
01802C,5A-LAB,CRJ9
A5D109,N474M,GLF4
A136E6,N178AA,B752
3950C9,F-GUGJ,A318
391541,F-GFKB,A320
4B1905,HB-JMJ,A343
400DD1,G-SYLJ,E135
502C62,YL-BBR,B733
401114,G-HEJB,SR22
478381,LN-RRU,B738
478448,LN-KKW,B733
405027,G-HILZ,RV8
3001F5,I-EEZI,A320
4B161B,HB-IJR,A320
C8187F,ZK-OKB,B772
404E72,G-EDGA,P28A
451E83,LZ-WZA,A320
A769B0,N577PA,C425
3413CD,EC-HSF,A320
A1DCB4,N219UA,B772
393E27,F-GPRH,BE30
4032A5,G-GASP,P28A
381E7B,F-RAFI,FA50
4785E0,LN-NOP,B738
3986E5,F-HBXF,E170
404EF5,G-NIKK,
4D02B0,LX-JFE,TBM7
48418E,PH-DYE,C550
40058B,G-ZZZB,B772
43C136,ZH877,C30J
3D25CB,D-EMOH,M20P
3C119A,D-AVRH,RJ85
401E02,G-BGXS,P28A
4D0218,LX-SPK,CL60
A16362,N189PB,SR22
400BF8,G-BEZL,PA31
020044,CN-RNU,B738
343385,EC-LAA,A320
A2AC03,N271UP,MD11
43E7C6,M-OLEG,E135
71BC14,HL7414,B744
4240A6,VP-BPD,B735
400BA6,G-CDED,R22
478329,LN-ROU,MD82
3950C2,F-GUGC,A318
A7A557,N592FE,MD11
3E4AAC,D-ITMA,C25A
4B1900,HB-JME,A343
887400,HS-TGM,B744
71BF42,HL7742,B772
AE11FA,02-0203,B737
4911CC,CS-DNL,H25B
30005E,I-BIXU,A321
010025,SU-GBM,A342
401C86,G-BEPY,AC11
867FF0,JA735J,B77W
A7D6A9,N604FS,CL60
3CFDEC,D-CXLS,C56X
400187,VP-BUH,B752
A788FD,N585FE,MD11
AAE99E,N802DH,DC87
A32C47,N303UP,B763
4780B4,LN-KKA,B733
7802D3,B-6080,A332
AE1238,03-3127,C17
4841DB,PH-XRD,B737
020045,CN-RNV,B737
424053,VP-BSN,GLF5
43C2A9,ZA939,PUMA
424097,VP-BRX,A320
4CC265,TF-FIE,B752
A0563B,N1201P,B763
3C4AC8,D-ABVH,B744
4B1619,HB-IJP,A320
89613E,A6-EYI,A332
393D4D,F-GPKN,P180
3C64C2,D-AIFB,A343
3C4AC4,D-ABVD,B744
3E2282,D-IEGO,C510
394C11,F-GTAR,A321
AB20C0,N816MG,GLF5
A21C5E,N235PF,P28A
3CDD1F,D-CLAT,C25B
391232,F-GERS,BE20
44CE67,OO-SSG,A319
AE0691,62-3572,K35R
A19EFF,N203UW,B752
3C4B10,D-ABXP,B733
4006B6,G-BLRA,B461
A257A2,N250BL,C25A
AE20C3,07-7182,C17
4B8D87,TC-CLG,H25B
4844AA,P4-PAM,E135
A0A8DE,N14106,B752
C07731,C-GTDO,ASTR
3C4DC4,D-ACND,CRJ9
89612B,A6-ETA,B77W
45D968,OY-VKH,A333
AE07FA,97-0048,C17
A3D70C,N3468D,BE40
89604B,A6-EMH,B772
43E7BF,M-AGGY,C550
394C08,F-GTAI,A321
4B0F10,HB-FSI,PC12
44011A,OE-LNR,B738
AE123C,04-4131,C17
06A03E,A7-AEE,A333
A97B00,N71PG,
46812F,303,C130
394A03,F-GSQD,B77W
448463,OO-ACC,C25A
A8670E,N640US,B742
A72741,N560DM,GLF5
42414F,VP-CJC,GL5T
4D00C0,LX-LGW,E145
A170C5,N192N,GLF4
516093,4O-AOM,F100
A3EC3C,N352AA,B763
4CA75C,EI-EFA,B738
4000D9,VP-BZL,B738
51002C,EW-251PA,B735
A462C5,N382AN,B763
400C05,G-OWAL,PA34
8961FB,A6-PJE,E135
AE057E,87-0033,C5
401091,G-HCSA,C25A
4B1E75,HB-LNX,PAY2
A8E06E,N671LE,GLF5
76CE10,9V-SPP,B744
401219,G-ELOA,C560
4240D1,VP-BEZ,F900
4012B7,G-OPUK,P28A
502C63,YL-BBS,B733
3C6516,D-AIHV,A346
40610C,G-CIRU,SR20
506C90,S5-BAS,C25A
AE1241,04-4136,C17
43C1BF,ZD948,L101
89402D,A9C-KE,A332
4B17A6,HB-IYW,RJ1H
A31FF4,N300GM,CL30
3E4082,D-IPPY,P180
899015,B-18701,B744
395025,F-GUBF,E145
394724,F-GRZE,CRJ7
4A8023,SE-DIP,MD87
AA78DE,N774LA,B77L
A7CAFA,N601AD,CL60
3C119C,D-AVRJ,RJ85
4CA689,EI-GJL,
4B1F29,HB-LUV,C303
3949E9,F-GSPJ,B772
3CCDBB,D-CFFF,C560
42424A,VP-BVV,F2TH
02007A,CN-ROP,B738
461F6C,OH-LXK,A320
ACB29F,N917VZ,GLF4
342389,EC-JIP,SW4
4050D6,G-OOGL,H500
AE117D,02-1111,C17
44A822,OO-JAB,P28A
424249,VP-BCM,HA4T
393F0B,F-GPYL,AT45
AC0564,N874C,GLF4
3950CA,F-GUGK,A318
406139,G-FBKB,C510
401265,G-MKHA,B742
4784E8,LN-RRF,B738
3C6672,D-AISR,A321
3949E5,F-GSPF,B772
76CEF3,9V-SWS,B77W
45AC4B,OY-KBK,A321
3C4832,D-ABAR,B738
A44973,N3755P,C130
4D02A6,LX-TAI,PC12
A2B728,N274UP,MD11
43E750,M-AJOR,H25B
406017,G-EZTN,A320
4D028C,LX-LAR,LJ35
040023,ET-AMU,B752
3C706B,D-ALCK,MD11
400E74,G-VFIZ,A346
A83477,N628FE,MD11
30006C,I-BIXV,A321
7804CA,B-6505,A332
393EEB,F-GPXL,F100
34264A,EC-KKS,A319
A62778,N496MC,B744
71BF55,HL7755,B772
4BCC72,TC-SCR,CL30
A333B5,N305UP,B763
3421C2,EC-JCU,SW4
400FC2,G-CEFG,B763
401049,G-ZAPZ,B733
76CCC4,9V-SFD,B744
A70052,N550KF,GLF5
AE0535,69-0015,C5
AE144A,05-5140,C17
3C64F3,D-AIGS,A343
A9538B,N70PS,GLEX
A18D86,N2CC,GLF4
08000F,5H-ONE,GLF5
4AC918,SE-RHX,B738
43C0A1,XV102,VC10
406006,G-SYGB,BE20
3C4D43,D-ACJC,CRJ1
AE0223,85-0031,DC10
3C2B06,D-BTEN,C750
A34884,N310TK,CL60
4841A3,PH-HMA,C550
4401F0,OE-IKB,MD83
484162,PH-BXI,B738
473405,HA-LPE,A320
8004C6,VT-RSR,H25B
4B1A5E,HB-JZQ,A319
473410,HA-LPQ,A320
A94217,N696MD,SR22
896178,A6-EWF,B77L
A1ADBF,N207TT,H25A
44003A,OE-LBE,A321
404AC6,G-JACH,P28A
4D203B,9H-AFP,GLEX
A43789,N371AG,
4008F3,G-BUUP,ATP
3D4EA7,D-FCAP,PC12
300284,I-AIGG,B763
4401B5,OE-LNT,B738
3A24E8,F-OJHI,A310
400606,G-ZAPO,B462
3C5CB2,D-AGER,B737
400928,G-IPAX,C560
449496,OO-EDV,C25B
4B0F59,HB-FVD,PC12
3CF0A4,D-CSKY,B350
A11F59,N17104,B752
06A046,A7-ACG,A332
491164,CS-DKD,GLF5
AAAA9D,N787AX,B762
ADFEE4,159115,DC93
4844B1,P4-SNS,FA50
3D38D9,D-ETTX,PA46
40110F,G-CGRD,SR22
4050F4,G-ESSL,C182
3949F0,F-GSPQ,B772
C07195,C-GRAI,DH8C
4CA75A,EI-EDM,A319
400DC7,G-OLFT,AC11
400FB6,G-JKMH,DA42
AE119B,03-3118,C17
400FDD,G-EZBL,A319
400AB2,G-DIXY,P28A
4BA674,TC-IST,C680
4008F5,G-SJCH,BN2T
A14700,N18119,B752
AC7777,N902JW,
01002A,SU-GBS,B772
4011A1,G-CEMD,P28A
A9ED8E,N739MA,B738
491259,CS-DRY,H25B
7801D1,B-HKS,B744
3412C6,EC-HGO,B738
49110B,CS-DHK,C550
4B1903,HB-JMH,A343
43C2F2,XS713,H25A
4240E2,VP-BQU,A320
4401E7,OE-INX,CL60
400DDF,G-CDTA,
A4ADC2,N400MP,GLF4
A4553B,N379AA,B763
AAE6D5,N801NW,A333
424933,VQ-BDG,CL60
43C388,ZG848,BN2T
E4821D,PR-DNZ,FA7X
894029,A9C-KA,A332
3412C3,EC-HBL,B738
43C2B0,ZJ957,PUMA
3C98C2,D-BFFB,F2TH
A96171,N703TW,B752
39472E,F-GRZO,CRJ7
4D02AB,LX-JFN,PC12
4843C7,PH-TCN,P180
750078,9M-MPK,B744
A642A6,N502PC,GLF4
A8D9CE,N67EL,F900
40520C,G-EGSJ,JAB4
4401C4,OE-FSG,C25A
43C5C0,ZJ651,AJET
4401F3,OE-LVL,F100
39A912,F-HKIS,B744
76CCCB,9V-SFK,B744
401175,G-SIRO,F900
020017,CN-RNJ,B738
ADD269,N99XT,
39154C,F-GFKM,A320
AB2E8B,N82AJ,C501
400E0B,G-PGGY,R44
A703B9,N551GA,GLF5
396008,F-GYAI,A320
778561,YK-AKA,A320
43C269,ZJ212,H64
40583A,G-CEZR,DA40
A05C3A,N122MG,SR22
40579B,G-SEAJ,C525
A2FEB8,N292UP,MD11
0D04BF,XA-MAT,B763
484050,PH-BTA,B734
A40DE7,N360SL,CL60
4CA204,258,LJ45
4AC889,SE-RDI,MD83
393F0C,F-GPYM,AT45
780092,B-6090,A332
